iter	Passed	Remaining
0	1	171
1	3	164
2	4	156
3	6	147
4	7	146
5	9	146
6	11	149
7	15	174
8	17	173
9	19	173
10	20	166
11	21	161
12	23	156
13	25	153
14	26	149
15	27	145
16	29	143
17	30	139
18	32	137
19	33	134
20	34	130
21	40	141
22	41	137
23	42	135
24	46	138
25	49	140
26	50	136
27	53	136
28	54	133
29	55	129
30	56	126
31	58	124
32	61	124
33	63	122
34	65	121
35	66	118
36	67	115
37	69	113
38	70	110
39	72	108
40	75	108
41	76	105
42	78	103
43	79	101
44	80	98
45	82	96
46	84	95
47	86	93
48	88	92
49	92	92
50	94	91
51	95	88
52	97	86
53	99	84
54	99	81
55	101	79
56	103	77
57	105	76
58	107	74
59	109	72
60	110	70
61	111	68
62	113	66
63	114	64
64	115	62
65	118	60
66	120	59
67	123	58
68	125	56
69	127	54
70	128	52
71	129	50
72	131	48
73	141	49
74	149	49
75	158	50
76	160	48
77	162	45
78	165	44
79	168	42
80	169	39
81	171	37
82	172	35
83	174	33
84	175	30
85	176	28
86	178	26
87	180	24
88	182	22
89	185	20
90	186	18
91	188	16
92	189	14
93	191	12
94	192	10
95	194	8
96	196	6
97	199	4
98	201	2
99	202	0
