iter	Passed	Remaining
0	128	128808
1	137	68787
2	146	48535
3	155	38797
4	158	31503
5	160	26573
6	162	23023
7	163	20323
8	167	18404
9	168	16703
10	170	15289
11	171	14110
12	172	13108
13	174	12263
14	175	11515
15	176	10856
16	177	10272
17	180	9848
18	181	9388
19	182	8959
20	183	8571
21	184	8220
22	185	7897
23	187	7605
24	188	7335
25	189	7085
26	190	6850
27	191	6637
28	192	6437
29	194	6302
30	196	6138
31	197	5979
32	198	5822
33	200	5683
34	201	5543
35	202	5412
36	203	5286
37	204	5169
38	205	5056
39	206	4957
40	207	4860
41	209	4788
42	211	4697
43	212	4615
44	213	4530
45	214	4449
46	215	4371
47	216	4300
48	217	4228
49	219	4161
50	220	4102
51	221	4039
52	224	4014
53	225	3958
54	226	3899
55	227	3843
56	228	3788
57	230	3736
58	231	3685
59	232	3637
60	233	3588
61	234	3547
62	235	3508
63	239	3501
64	241	3474
65	242	3436
66	244	3398
67	246	3381
68	248	3347
69	249	3314
70	250	3280
71	254	3278
72	255	3248
73	257	3216
74	258	3187
75	259	3156
76	260	3126
77	262	3100
78	263	3073
79	265	3050
80	269	3058
81	271	3039
82	272	3009
83	273	2984
84	274	2958
85	276	2933
86	277	2910
87	278	2886
88	279	2861
89	280	2837
90	285	2847
91	286	2829
92	289	2822
93	290	2801
94	291	2779
95	292	2756
96	293	2734
97	295	2715
98	296	2695
99	298	2684
100	299	2664
101	300	2646
102	301	2627
103	302	2607
104	303	2588
105	304	2570
106	305	2551
107	306	2533
108	308	2518
109	310	2509
110	312	2501
111	313	2484
112	314	2468
113	315	2452
114	316	2436
115	317	2420
116	318	2403
117	319	2387
118	320	2376
119	322	2362
120	323	2352
121	326	2348
122	327	2337
123	328	2323
124	330	2312
125	331	2301
126	332	2286
127	333	2273
128	334	2260
129	335	2246
130	336	2233
131	338	2222
132	341	2224
133	342	2214
134	343	2202
135	344	2190
136	345	2178
137	347	2167
138	348	2155
139	348	2143
140	349	2132
141	350	2118
142	351	2107
143	354	2107
144	356	2101
145	357	2092
146	359	2084
147	360	2074
148	361	2065
149	362	2056
150	364	2048
151	365	2038
152	366	2028
153	369	2032
154	371	2025
155	373	2020
156	375	2014
157	377	2010
158	378	2003
159	380	1996
160	381	1986
161	385	1991
162	386	1984
163	388	1978
164	389	1972
165	391	1966
166	392	1957
167	393	1949
168	396	1950
169	397	1942
170	398	1933
171	400	1926
172	401	1917
173	402	1910
174	403	1901
175	404	1893
176	405	1884
177	406	1877
178	407	1868
179	411	1873
180	412	1865
181	413	1857
182	414	1850
183	415	1844
184	416	1836
185	417	1828
186	419	1822
187	420	1814
188	421	1808
189	422	1801
190	424	1799
191	427	1797
192	434	1818
193	437	1819
194	439	1815
195	441	1813
196	444	1810
197	447	1812
198	449	1807
199	450	1803
200	452	1799
201	453	1793
202	455	1787
203	456	1782
204	457	1775
205	459	1771
206	461	1769
207	463	1763
208	464	1756
209	465	1749
210	466	1743
211	467	1736
212	468	1730
213	469	1724
214	470	1717
215	471	1712
216	472	1706
217	475	1704
218	476	1699
219	477	1693
220	478	1687
221	479	1681
222	480	1675
223	481	1668
224	482	1662
225	483	1656
226	484	1651
227	485	1645
228	486	1639
229	488	1636
230	491	1635
231	492	1629
232	493	1624
233	494	1618
234	495	1612
235	496	1606
236	497	1601
237	498	1596
238	499	1590
239	500	1585
240	501	1579
241	505	1582
242	506	1578
243	508	1574
244	510	1573
245	512	1569
246	513	1564
247	514	1559
248	515	1554
249	516	1550
250	519	1550
251	520	1546
252	521	1540
253	523	1536
254	524	1532
255	525	1526
256	526	1521
257	527	1517
258	528	1512
259	530	1508
260	531	1503
261	532	1499
262	535	1499
263	536	1494
264	537	1490
265	538	1486
266	539	1481
267	540	1476
268	541	1471
269	542	1467
270	543	1462
271	544	1457
272	545	1453
273	546	1449
274	548	1446
275	550	1443
276	551	1438
277	552	1434
278	553	1429
279	554	1425
280	555	1421
281	556	1416
282	557	1412
283	558	1407
284	559	1403
285	561	1401
286	563	1398
287	564	1394
288	565	1390
289	566	1385
290	567	1381
291	568	1377
292	569	1373
293	570	1369
294	571	1365
295	572	1361
296	573	1358
297	575	1355
298	577	1355
299	579	1351
300	580	1347
301	581	1343
302	582	1339
303	583	1335
304	584	1331
305	585	1327
306	586	1323
307	587	1321
308	590	1320
309	591	1317
310	593	1315
311	594	1311
312	595	1307
313	596	1303
314	597	1299
315	598	1296
316	599	1292
317	600	1288
318	602	1285
319	603	1281
320	606	1282
321	607	1278
322	608	1275
323	609	1272
324	611	1269
325	612	1265
326	613	1261
327	614	1258
328	615	1254
329	616	1250
330	617	1247
331	620	1247
332	621	1245
333	622	1241
334	623	1238
335	624	1234
336	625	1231
337	626	1227
338	627	1224
339	628	1220
340	629	1217
341	630	1213
342	631	1210
343	634	1209
344	635	1206
345	636	1203
346	637	1200
347	638	1196
348	639	1193
349	640	1189
350	641	1186
351	642	1183
352	643	1179
353	644	1176
354	645	1172
355	646	1169
356	649	1169
357	650	1166
358	651	1163
359	652	1160
360	653	1157
361	654	1154
362	655	1150
363	656	1147
364	657	1144
365	658	1141
366	659	1138
367	660	1135
368	663	1134
369	665	1132
370	666	1129
371	667	1126
372	668	1123
373	669	1120
374	670	1117
375	671	1114
376	672	1111
377	673	1108
378	674	1105
379	675	1102
380	678	1101
381	679	1099
382	680	1096
383	681	1093
384	682	1090
385	683	1087
386	684	1084
387	685	1081
388	686	1078
389	687	1075
